quantity,Date,Region
526,2020-10-13,north
546,2020-10-13,south
505,2020-10-13,east
561,2020-10-13,west
553,2020-10-13,north
513,2020-10-13,south
575,2020-10-13,east
599,2020-10-13,west
544,2020-10-13,north
542,2020-10-13,south
507,2020-10-13,east
568,2020-10-13,west
509,2020-10-13,north
582,2020-10-13,south
517,2020-10-13,east
583,2020-10-13,west
511,2020-10-13,north
598,2020-10-13,south
546,2020-10-13,east
599,2020-10-13,west
555,2020-10-13,north
543,2020-10-13,south
527,2020-10-13,east
581,2020-10-13,west
504,2020-10-13,north
536,2020-10-13,south
518,2020-10-13,east
573,2020-10-13,west
560,2020-10-14,north
585,2020-10-14,south
528,2020-10-14,east
530,2020-10-14,west
559,2020-10-14,north
501,2020-10-14,south
519,2020-10-14,east
580,2020-10-14,west
515,2020-10-14,north
556,2020-10-14,south
585,2020-10-14,east
518,2020-10-14,west
596,2020-10-14,north
592,2020-10-14,south
536,2020-10-14,east
597,2020-10-14,west
500,2020-10-14,north
584,2020-10-14,south
510,2020-10-14,east
531,2020-10-14,west
546,2020-10-14,north
520,2020-10-14,south
597,2020-10-14,east
598,2020-10-14,west
503,2020-10-14,north
579,2020-10-14,south
528,2020-10-14,east
595,2020-10-14,west
506,2020-10-15,north
567,2020-10-15,south
572,2020-10-15,east
521,2020-10-15,west
595,2020-10-15,north
582,2020-10-15,south
596,2020-10-15,east
561,2020-10-15,west
527,2020-10-15,north
513,2020-10-15,south
534,2020-10-15,east
519,2020-10-15,west
542,2020-10-15,north
569,2020-10-15,south
505,2020-10-15,east
586,2020-10-15,west
560,2020-10-15,north
596,2020-10-15,south
574,2020-10-15,east
578,2020-10-15,west
541,2020-10-15,north
563,2020-10-15,south
583,2020-10-15,east
568,2020-10-15,west
549,2020-10-15,north
598,2020-10-15,south
595,2020-10-15,east
528,2020-10-15,west
546,2020-10-16,north
563,2020-10-16,south
505,2020-10-16,east
544,2020-10-16,west
502,2020-10-16,north
521,2020-10-16,south
599,2020-10-16,east
541,2020-10-16,west
591,2020-10-16,north
510,2020-10-16,south
575,2020-10-16,east
503,2020-10-16,west
585,2020-10-16,north
501,2020-10-16,south
566,2020-10-16,east
556,2020-10-16,west
519,2020-10-16,north
520,2020-10-16,south
501,2020-10-16,east
583,2020-10-16,west
586,2020-10-16,north
503,2020-10-16,south
540,2020-10-16,east
563,2020-10-16,west
563,2020-10-16,north
516,2020-10-16,south
520,2020-10-16,east
517,2020-10-16,west
503,2020-10-17,north
597,2020-10-17,south
503,2020-10-17,east
592,2020-10-17,west
586,2020-10-17,north
569,2020-10-17,south
565,2020-10-17,east
538,2020-10-17,west
507,2020-10-17,north
523,2020-10-17,south
598,2020-10-17,east
553,2020-10-17,west
579,2020-10-17,north
525,2020-10-17,south
594,2020-10-17,east
571,2020-10-17,west
589,2020-10-17,north
560,2020-10-17,south
516,2020-10-17,east
572,2020-10-17,west
568,2020-10-17,north
528,2020-10-17,south
511,2020-10-17,east
509,2020-10-17,west
532,2020-10-17,north
543,2020-10-17,south
547,2020-10-17,east
568,2020-10-17,west
